competent;talent;relation
Consignes de sécurité en cas d'urgence;Faire preuve de fiabilité;associé
Consignes de sécurité en vol;Faire preuve de fiabilité;associé
Console de contrôle;Analyser l’information;associé
Consolider les parois d'un puits de forage;Intégrer l’information;associé
Constate des anomalies, des dommages, etc. à l'état du bâtiment et prend des mesures;Analyser l’information;associé
Constate des anomalies et des perturbations par des contrôles visuels et par les messages d'erreur sur le tableau de bord;Piloter l’organisation;associé
Constate des défauts ou le dépassement de la date d'utilisation;Résoudre des problèmes;associé
Constate des fonctions cognitives sur base de questionnaires et de tests (concentration, mémoire, capacité de planification et de résolution de problèmes);Organiser;associé
Constate des fonctions cognitives sur base de questionnaires et de tests (concentration, mémoire, capacité de planification et de résolution de problèmes);Résoudre des problèmes;associé
Constate des problèmes d'humidité ou autres qui peuvent rendre des travaux d'isolation ou  d'étanchéité inefficaces;Résoudre des problèmes;associé
Constate la fin de la réalisation du bâtiment et transmet les documents de coordination dans un procès-verbal;Assimiler l’information;associé
Constate la nécessité d'information sur la nutrition;Comprendre l’information;associé
Constate les anomalies et consulte le skipper;Conseiller;associé
Constate les anomalies par rapport aux normes de conception et de confort;Conceptualiser;associé
Constate les défauts (aplombs, niveau de hauteur, planéité, dommages, etc.);Résoudre des problèmes;associé
Constate les défauts des produits;Résoudre des problèmes;associé
Constate les défauts ou la nécessité d'entretien préventif;Résoudre des problèmes;associé
Constate les différences entre la couverture de la police et les besoins du client;Agir de manière orientée service;associé
Constate les écarts et les défauts dans les machines et produits;Résoudre des problèmes;associé
Constate les points problématiques en rapport avec la réalisation d'une production ou l'enregistrement dans une salle ou un lieu;Assimiler l’information;associé
Constituer des équipes de sécurité;Faire preuve de fiabilité;associé
Constituer des preuves de conformité pour une installation;Faire preuve de fiabilité;associé
Constituer et présenter un dossier de demande de financement;Communiquer;associé
Constituer un dossier de demande d'aide sociale et effectuer le suivi;Exécuter des tâches;associé
Construction et structure d'un navire;Structurer le travail;associé
Construit des collaborations d'échange et de contribution avec d'autres services de recherche;Travailler en équipe;associé
Construit des outils d'analyse permettant de visualiser et de présenter les données aux utilisateurs professionnels;Analyser l’information;associé
Construit des outils d'analyse permettant de visualiser et de présenter les données aux utilisateurs professionnels;Communiquer;associé
Construit et maintient des contacts avec des professionnels internes ou externes à l'organisation;Établir des relations;proche
Construit et maintient des contacts avec des professionnels internes ou externes à l'organisation;Comprendre l’organisation;associé
Construit et maintient un réseau de contacts;Construire des réseaux;associé
Construit et maintient un réseau de contacts;Établir des relations;associé
Construit sur les connaissances et les compétences existantes;Partager son savoir-faire;associé
Construit un portefeuille client et un réseau de partenaires potentiels (sponsors, financiers, canaux de subventionnement, …);Construire des réseaux;associé
Construit un portefeuille client et un réseau de partenaires potentiels (sponsors, financiers, canaux de subventionnement, …);Établir des relations;associé
Construit un réseau avec d'autres professionnels de la santé et des services de soins;Construire des réseaux;associé
Construit un réseau de contacts professionnels;Construire des réseaux;associé
Construit un réseau de contacts professionnels;Établir des relations;associé
Construit un réseau professionnel;Construire des réseaux;associé
Construit une argumentation de vente;Influencer;associé
Construit une relation de confiance;Conseiller;proche
Construit une relation de confiance;Établir des relations;associé
Construit une relation de confiance avec la personne;Conseiller;proche
Construit une relation de confiance avec la personne;Établir des relations;associé
Construit une relation de confiance avec le couple ou la famille;Conseiller;proche
Construit une relation de confiance avec le couple ou la famille;Établir des relations;associé
Construit une relation de confiance avec le patient et son entourage;Conseiller;proche
Construit une relation de confiance avec le patient et son entourage;Établir des relations;associé
Construit une relation de confiance avec les parents;Conseiller;proche
Construit une relation de confiance avec les parents;Établir des relations;associé
Construit une relation de confiance avec les professionnels de différentes organisations, services, …;Comprendre l’organisation;associé
Construit une relation de confiance avec les professionnels de différentes organisations, services, …;Établir des relations;associé
Construit une relation de confiance avec tous les enfants;Conseiller;proche
Construit une relation de confiance avec tous les enfants;Établir des relations;associé
Consulte d'autres professionnels de la santé;Conseiller;associé
Consulte de la documentation sur la pièce à travailler;Conseiller;associé
Consulte des bases de données en vue d'obtenir des informations policières;Assimiler l’information;associé
Consulte des bases de données en vue d'obtenir des informations policières;Comprendre l’information;associé
Consulte des bases de données en vue d'obtenir des informations policières;Conseiller;associé
Consulte des bases de données, photothèques, banques d'images, internet;Conseiller;associé
Consulte des collaborateurs et des experts;Diriger des collaborateur·trices;proche
Consulte des collaborateurs et des experts;Conseiller;associé
Consulte des collaborateurs et des experts;Développer des collaborateur·trices;associé
Consulte des documents techniques (analyses géologiques);Analyser l’information;associé
Consulte des documents techniques (plans, cahier des charges, normes, …);Conseiller;associé
Consulte des données techniques (météo, trajet, propriétés de l'aéronef, etc.);Assimiler l’information;associé
Consulte des entreprises spécialisées;Conseiller;associé
Consulte des études sur le projet de construction;Conseiller;associé
Consulte des experts;Conseiller;associé
Consulte des experts internes et externes à l'organisation;Comprendre l’organisation;associé
Consulte des experts internes et externes à l'organisation;Conseiller;associé
Consulte des experts internes et externes à l'organisation;S’impliquer dans l’organisation;associé
Consulte des informations internes pour planifier ou organiser l'utilisation de l'équipement, des appareils, des locaux ou des laboratoires;Organiser;proche
Consulte des informations pour déterminer les dommages (preuves d'achat, rapports de dommages, rapports médicaux, …);Comprendre l’information;associé
Consulte des informations techniques;Comprendre l’information;associé
Consulte des livres de référence sur l'environnement d'un animal;Comprendre l’organisation;associé
Consulte des notes internes, des croquis détaillés de mise en œuvre, …;Conseiller;associé
Consulte des rapports de recherche et des études en santé publique;Assimiler l’information;associé
Consulte des ressources techniques (descriptions de méthodes de soudage, plan de montage, …);Structurer le travail;associé
Consulte des ressources techniques (dossier technique, schémas, listes, …);Conseiller;associé
Consulte des ressources techniques (manuels, schémas d'instruction, etc.);Comprendre l’information;associé
Consulte des ressources techniques (plans de salles, plans de décor, etc.);Conseiller;associé
Consulte des séries chronologiques statistiques sur les taux d'arrivée et de nuit, les tendances en matière d'hébergement, les taux d'occupation des baromètres et les données sur les attractions;Assimiler l’information;associé
Consulte des séries chronologiques statistiques sur les taux d'arrivée et de nuit, les tendances en matière d'hébergement, les taux d'occupation des baromètres et les données sur les attractions;Conseiller;associé
Consulte des sources d'information;Comprendre l’information;associé
Consulte des sources d'information (internet, bases de données, …);Assimiler l’information;associé
Consulte des sources d'information (internet, bases de données, …);Comprendre l’information;associé
Consulte des sources d'information (internet, bases de données, …);Conseiller;associé
Consulte des sources d'information (internet, revues spécialisées , littérature spécialisée, etc.);Comprendre l’information;associé
Consulte des sources d'information (techniques);Comprendre l’information;associé
Consulte des spécialistes en lien avec des sujets spécifiques;Conseiller;associé
Consulte différentes sources;Conseiller;associé
Consulte différentes sources d'information (manuels, bases de données, sites internet, etc.);Assimiler l’information;associé
Consulte différentes sources d'information (manuels, bases de données, sites internet, etc.);Comprendre l’information;associé
Consulte différentes sources d'information (manuels, bases de données, sites internet, etc.);Conseiller;associé
Consulte différentes sources d'information (manuels, littérature, bases de données, sites internet, …);Assimiler l’information;associé
Consulte différentes sources d'information (manuels, littérature, bases de données, sites internet, …);Comprendre l’information;associé
Consulte diverses sources d'information (internet, littérature spécialisée, statistiques, etc.);Comprendre l’information;associé
Consulte et/ou fait des rapports aux parties concernées (entraîneur, parents, professeur, …);Conseiller;associé
Consulte et suit les instructions de montage du fabricant;Comprendre l’information;associé
Consulte et travaille avec d'autres personnes travaillant dans le domaine médical ou paramédical;Conseiller;associé
Consulte l'infirmier si le patient n'est pas dans les conditions de transport exigées;Conseiller;associé
Consulte l'information interne et externe afin de planifier et organiser la tâche;Organiser;proche
Consulte l'information interne et externe afin de planifier et organiser la tâche;Comprendre l’information;associé
Consulte la direction, les collaborateurs techniques, les chauffeurs, etc.;Travailler en équipe;associé
Consulte la direction sur les budgets, les procédures, les objectifs, etc.;Atteindre les objectifs;associé
Consulte la documentation (formulaire de dédouanement, taux de change, etc.);Assimiler l’information;associé
Consulte la documentation (internet, …);Conseiller;associé
Consulte la documentation (normes de qualité, …);Faire preuve de fiabilité;associé
Consulte la feuille de travail;Conseiller;associé
Consulte la fiche de service et les livres de consignes;Conseiller;associé
Consulte la fiche du patient;Conseiller;associé
Consulte la lettre de transmission et contacte le prescripteur lors de manque de clarté;Établir des relations;associé
Consulte la liste des commandes et des délais de livraison;Atteindre les objectifs;associé
Consulte la liste des prises de vue;Conseiller;associé
Consulte la littérature spécialisée;Conseiller;associé
Consulte la littérature spécialisée, les journaux et les revues, les réseaux sociaux, les blogs, les sites web, etc.;Construire des réseaux;associé
Consulte la prescription médicale;Conseiller;associé
Consulte la réglementation de sécurité d'application en cas d'ambiguïtés;Conseiller;associé
Consulte le client et les partenaires (gestion de projet, entrepreneurs, etc.);Agir de manière orientée service;associé
Consulte le client et les partenaires (gestion de projet, entrepreneurs, etc.);Conseiller;associé
Consulte le client et les partenaires (gestion de projet, entrepreneurs, etc.);Établir des relations;associé
Consulte le client sur les critères et les priorités concernant le lieu (accessibilité, capacité, prix, possibilités de restauration, etc.);Agir de manière orientée service;associé
Consulte le client sur les critères et les priorités concernant le lieu (accessibilité, capacité, prix, possibilités de restauration, etc.);Conseiller;associé
Consulte le client sur les critères et les priorités en matière d'animation et d'expérience (prix, thème, style et cadre, etc.);Agir de manière orientée service;associé
Consulte le client sur les critères et les priorités en matière d'animation et d'expérience (prix, thème, style et cadre, etc.);Conseiller;associé
Consulte le demandeur de soins, l'entourage et l'équipe;Conseiller;associé
Consulte le planning du projet et les documents techniques (plans, cahiers des charges, …);Assimiler l’information;associé
Consulte le planning et les fiches de production;Conseiller;associé
Consulte le spécialiste concerné;Conseiller;associé
Consulte le système de suivi des élèves;Conseiller;associé
Consulte les artistes, le directeur artistique et les équipes techniques;Conseiller;associé
Consulte les attributs qui sont associés à un objet sur la carte;Conseiller;associé
Consulte les consignes de sécurité et les respecte;Faire preuve de fiabilité;associé
Consulte les consignes de sécurité et les respecte;Faire preuve de respect;associé
Consulte les décisions et introduit un recours si nécessaire;Conseiller;associé
Consulte les différentes sources d'information (littérature, bases de données, internet, etc.);Assimiler l’information;associé
Consulte les différentes sources d'information (littérature, bases de données, internet, etc.);Comprendre l’information;associé
Consulte les différentes sources d'information (littérature, bases de données, internet, etc.);Conseiller;associé
Consulte les différentes sources d'information (littérature, internet, …);Comprendre l’information;associé
Consulte les différentes sources d'informations (législation, manuels, internet, etc.);Comprendre l’information;associé
Consulte les différentes sources d'informations (législation, manuels, internet, etc.);Comprendre l’organisation;associé
Consulte les différentes sources d'informations (manuels, internet, …);Comprendre l’information;associé
Consulte les documents techniques (plans);Assimiler l’information;associé
Consulte les dossiers auprès des autorités fiscales compétentes;Conseiller;associé
Consulte les études du marché, revues spécialisées, newsletters d'associations d'entreprises, forums d'internet, …;Conseiller;associé
Consulte les fournisseurs au sujet des différentes options de traitement;Conseiller;associé
Consulte les gestionnaires opérationnels et la direction;Conseiller;associé
Consulte les informations du marché, les revues spécialisées, les bulletins d'information, les forums sur internet, les évaluations, …;Analyser l’information;associé
Consulte les informations du marché, les revues spécialisées, les bulletins d'information, les forums sur internet, les évaluations, …;Comprendre l’information;associé
Consulte les manuels techniques;Conseiller;associé
Consulte les parents au sujet de la participation;Conseiller;associé
Consulte les parties prenantes lors de l'élaboration des plans et des actions;Conseiller;associé
Consulte les parties prenantes lors de l'élaboration des projets et des actions (chefs de départements, collège des échevins, groupes environnementaux, scientifiques, etc.);Comprendre l’organisation;associé
Consulte les parties prenantes sur les nouvelles méthodes et réglementations;Structurer le travail;associé
Consulte les partis concernées en cas d'incertitudes ou de lacunes;Conseiller;associé
Consulte les prestataires de soins et d'assistance professionnels pour savoir si les objectifs globaux du traitement ont été atteints (équipe, médecin, etc.);Atteindre les objectifs;associé
Consulte les rapports d'inspection et les dossiers de plaintes;Conseiller;associé
Consulte les rapports de production;Conseiller;associé
Consulte les règlements et les directives (sur la discipline), les applique et conseille le commandement;Conseiller;proche
Consulte les responsables et/ou les clients;Agir de manière orientée service;associé
Consulte les responsables et/ou les clients;Conseiller;associé
Consulte les ressources techniques (cahiers des charges, dessins de détail, catalogues, …);Conseiller;associé
Consulte les ressources techniques (dessins de pièces, données de réglage, etc.);Assimiler l’information;associé
Consulte les ressources techniques (fiches de production, tableaux de référence, cahiers des charges, …);Conseiller;associé
Consulte les ressources techniques (manuel de l'atelier, fiches de travail, schéma d'entretien, …);Conseiller;associé
Consulte les ressources techniques (manuels, instructions du fabricant, …);Comprendre l’information;associé
Consulte les ressources techniques (manuels, notices constructeurs, etc.);Conseiller;associé
Consulte les ressources techniques (manuels schémas, …);Conseiller;associé
Consulte les ressources techniques (manuels, schémas, consignes de sécurité, …);Conseiller;associé
Consulte les ressources techniques (manuels, schémas, plans, etc.);Conseiller;associé
Consulte les ressources techniques (modes d'emploi, manuels d'instruction, messages d'erreur, etc.);Comprendre l’information;associé
Consulte les ressources techniques (plan de construction, éléments structurels, …);Structurer le travail;associé
Consulte les ressources techniques (plans, dessins de détail, …);Conseiller;associé
Consulte les ressources techniques (plans, schémas, etc.);Conseiller;associé
Consulte les ressources techniques (plans, systèmes de maintenance, instructions du fabricant, …);Comprendre l’information;associé
Consulte les ressources techniques (schéma unifilaire, dossier technique, etc.);Conseiller;associé
Consulte les ressources techniques (schémas, dessins, …);Conseiller;associé
Consulte les services de production, d'étude, d'approvisionnement et commerciaux;Conseiller;associé
Consulte les sources d'information du marché et les fichiers de base de données;Assimiler l’information;associé
Consulte les sources d'information du marché et les fichiers de base de données;Comprendre l’information;associé
Consulte les sources d'information du marché et les fichiers de base de données;Conseiller;associé
Consulte les sources d'information (internet, médias sociaux, …);Comprendre l’information;associé
Consulte les sources d'information (internet, revues spécialisées, littérature spécialisée, …);Comprendre l’information;associé
Consulte les sources d'information pour le monitoring et l'évaluation (données du marché et des clients, veille concurrentielle, prix, paramètres financiers, etc.);Analyser l’information;associé
Consulte les sources d'information pour le monitoring et l'évaluation (données du marché et des clients, veille concurrentielle, prix, paramètres financiers, etc.);Assimiler l’information;associé
Consulte les sources d'information pour le monitoring et l'évaluation (données du marché et des clients, veille concurrentielle, prix, paramètres financiers, etc.);Comprendre l’information;associé
Consulte les sources techniques;Conseiller;associé
Consulte les supports techniques (manuels, schémas, etc.);Conseiller;associé
Consulte ou rédige une fiche client;Agir de manière orientée service;associé
Consulte, si présent, le dossier du médecin prescripteur;Conseiller;associé
Consulte sur l'état d'avancement du projet;Conseiller;associé
Consulte sur la conception du projet, le coût, le calendrier, etc.;Conceptualiser;associé
Consulte un médecin et d'autres professionnels de la santé si nécessaire;Conseiller;associé
Consulter le client potentiel sur le contenu exact de la mission de conseil;Conseiller;proche
Consulter le dossier médical;Conseiller;associé
Consulter les ordres de production;Conseiller;associé
Consulter un dossier de construction;Conseiller;associé
Contacte des entrepreneurs;Établir des relations;associé
Contacte des informateurs;Établir des relations;associé
Contacte l'hôpital, la maison de repos et de soins, …;Établir des relations;associé
Contacte la fourrière;Établir des relations;associé
Contacte la société d'arrimage pour organiser le chargement et le déchargement du navire;Établir des relations;associé
Contacte la société d'arrimage pour organiser le chargement et le déchargement du navire;Organiser;associé
Contacte le client à l'arrivée des marchandises;Agir de manière orientée service;associé
Contacte le client à l'arrivée des marchandises;Établir des relations;associé
Contacte le client en cas de problème;Agir de manière orientée service;associé
Contacte le client en cas de problème;Établir des relations;associé
Contacte le client en cas de problème;Résoudre des problèmes;associé
Contacte le gestionnaire du réseau de distribution ou de l'entreprise pour mettre une installation hors tension;Construire des réseaux;associé
Contacte le gestionnaire du réseau de distribution ou de l'entreprise pour mettre une installation hors tension;Établir des relations;associé
Contacte le prescripteur en cas de soupçon d'abus ou d'utilisation inappropriée de la prescription;Établir des relations;associé
Contacte le responsable si la plainte n'est pas résolue;Établir des relations;associé
Contacte le service de dépannage;Établir des relations;associé
Contacte les agents sur place;Établir des relations;associé
Contacte les experts compétents pour la vaccination, la vermification, les soins dentaires, etc.;Établir des relations;associé
Contacte les fournisseurs en cas d'erreurs dans les commandes, les livraisons ou les factures;Établir des relations;associé
Contacte les fournisseurs ou le siège central;Établir des relations;associé
Contacte les instances et autres parties concernées;Établir des relations;associé
Contacte les instances (officielles);Établir des relations;associé
Contacte si nécessaire les services d'urgence;Établir des relations;associé
Contacte un expert (externe) si nécessaire;Établir des relations;associé
Contacte un photographe, une agence de mannequins, … pour organiser une séance photo (mannequins, lieu, …);Établir des relations;associé
Contacte un vétérinaire lorsque les problèmes ne se résolvent pas eux-mêmes;Résoudre des problèmes;associé
Contacter un client ou un prospect;Agir de manière orientée service;associé
Contexte politique international;Comprendre l’organisation;associé
Contribue à améliorer l'accessibilité organisationnelle;Comprendre l’organisation;associé
Contribue à améliorer l'accessibilité organisationnelle;S’impliquer dans l’organisation;associé
Contribue à assurer la qualité de l'ensilage et la préservation du fourrage;Faire preuve de fiabilité;associé
Contribue à l'élaboration d'un scénario pour les lieux de l'événement;Développer une vision;associé
Contribue à l'élaboration de documents d'information, manuels, …;Assimiler l’information;associé
Contribue à l'élaboration de documents d'information, manuels, …;Comprendre l’information;associé
Contribue à l'évaluation à mi-parcours du plan d'appui;Analyser l’information;associé
Contribue à l'exécution de l'acte prescrit;Exécuter des tâches;associé
Contribue à la mise en œuvre de systèmes de qualité;Faire preuve de fiabilité;associé
Contribue à un climat de coopération et d'esprit d'entreprise;Travailler en équipe;associé
Contribue activement à la recherche de solutions aux problèmes;Résoudre des problèmes;associé
Contribue au développement et à la mise à jour des lignes directrices et des normes relatives à l'exercice de la profession;Développer une vision;associé
Contribue au diagnostic médical fait par le médecin;Analyser l’information;associé
Contribue aux analyses des risques;Analyser l’information;associé
Contribue aux contrôles externes;Analyser l’information;associé
Contribuer à des actions de promotion dans les médias et sur les réseaux sociaux;Construire des réseaux;associé
Contribuer à l'expertise en matière de construction;Conseiller;associé
Contribuer à la résolution de situations conflictuelles par une démarche de médiation;Travailler en équipe;associé
Contribuer au développement de la profession;Développer des collaborateur·trices;associé
Contrôle, au niveau de la cage, les clôtures de sécurité, les ouvertures nécessaires, les crochets de levage, les obstacles, …;Faire preuve de fiabilité;associé
Contrôle d'un programme CNC (piste d'outil, conditions d'usinage, etc.);Analyser l’information;associé
Contrôle de gestion;Analyser l’information;associé
Contrôle de l’eau;Analyser l’information;associé
Contrôle de l’électricité;Analyser l’information;associé
Contrôle de qualité;Faire preuve de fiabilité;associé
Contrôle de sécurité;Faire preuve de fiabilité;associé
Contrôle des bruits spécifiques et vérifie la rouille, la décoloration, l'usure, les fuites, …;Analyser l’information;proche
Contrôle des cachets et scellés;Analyser l’information;associé
Contrôle des conditions de stockage pour le transport des denrées alimentaires;Analyser l’information;associé
Contrôle des documents personnels (carte d'identité, permis de conduire, etc.);Assimiler l’information;associé
Contrôle des égouts;Analyser l’information;associé
Contrôle du gaz;Analyser l’information;associé
Contrôle en continu le processus de taille;Comprendre l’organisation;associé
Contrôle en permanence la production pour s'assurer que les normes de qualité sont respectées;Faire preuve de fiabilité;associé
Contrôle en permanence la production pour s'assurer que les normes de qualité sont respectées;Faire preuve de respect;associé
Contrôle et adapte les raccordements d'eau potable selon les prescriptions des sociétés de distribution d'eau;S’adapter;associé
Contrôle et ajuste les coffrages assemblés (aplomb, niveaux, etc.);Analyser l’information;associé
Contrôle et ajuste les lunettes assemblées;Analyser l’information;associé
Contrôle et calibre des appareils d'examen;Analyser l’information;associé
Contrôle et corrige l'horizontalité, l'inclinaison, la verticalité et la planéité;Analyser l’information;associé
Contrôle et enregistre les déchets et les matériaux;Assimiler l’information;associé
Contrôle et évalue l'ordre de production;Analyser l’information;proche
Contrôle et exploite le transporteur de bois;Analyser l’information;associé
Contrôle et négocie ses propres droits intellectuels (par exemple, les droits auxiliaires);Influencer;associé
Contrôle et rectifie l'horizontalité, la verticalité, la planéité et l'appareillage des blocs de plâtre;Analyser l’information;associé
Contrôle et rectifie les erreurs dans la comptabilité;Analyser l’information;associé
Contrôle et remplace ou répare les raccords des tuyaux;Analyser l’information;associé
Contrôle et respecte l'ordre de production et la fiche technique;Faire preuve de respect;associé
Contrôle et restaure les composants de sécurité de l'appareil de chauffage;Analyser l’information;associé
Contrôle et supervise l'exécution des missions ou de l'ordre d'opération pour atteindre les objectifs;Atteindre les objectifs;associé
Contrôle et supervise l'exécution des missions ou de l'ordre d'opération pour atteindre les objectifs;Exécuter des tâches;associé
Contrôle et teste l'installation visuellement ou à l'aide des instruments de mesure spécifiques aux systémes selon un plan d'essais prescrit;Analyser l’information;proche
Contrôle et tient compte de l'emplacement des lignes de services publics existantes;Analyser l’information;associé
Contrôle externe;Analyser l’information;associé
Contrôle interne;Analyser l’information;associé
Contrôle l'accès et l'état du chantier;Analyser l’information;associé
Contrôle l'accessibilité de la main-d'œuvre actuelle et future;Analyser l’information;associé
Contrôle l'accessibilité des logiciels et adapte la programmation, si nécessaire;Analyser l’information;associé
Contrôle l'accessibilité des logiciels et adapte la programmation, si nécessaire;S’adapter;associé
Contrôle l'application des accords de modélisation BIM;Analyser l’information;associé
Contrôle l'application des mesures de sécurité visant à maîtriser les risques en cas de conditions météorologiques changeantes;Analyser l’information;proche
Contrôle l'application des mesures visant à prévenir les chutes d'objets et de personnes;Analyser l’information;proche
Contrôle l'application des règles de sécurité, d'hygiène et d'environnement;Comprendre l’organisation;associé
Contrôle l’approvisionnement et l'écoulement automatiques des matières premières;Analyser l’information;associé
Contrôle l'approvisionnement, le débit et l'évacuation du papier;Analyser l’information;associé
Contrôle l'effet du traitement et l'ajuste;Analyser l’information;associé
Contrôle l'endommagement des puits d'égout préfabriqués;Analyser l’information;associé
Contrôle l'enlèvement et le retour des signaux de queue au conducteur du train;Analyser l’information;associé
Contrôle l'étanchéité du réseau de canalisations et cherche des fuites ou des blocages;Construire des réseaux;associé
Contrôle l'état d'usure ou le bon fonctionnement de l'anode;Analyser l’information;associé
Contrôle l'état des appareils connectés;Analyser l’information;associé
Contrôle l'état des composants du système d'attelage mécanique pour le l'attelage ou le détalage;Analyser l’information;associé
Contrôle l'état des costumes conservés;Analyser l’information;associé
Contrôle l'état des pièces et évalue leur réutilisation;Analyser l’information;proche
Contrôle l'état extérieur de la cargaison;Analyser l’information;associé
Contrôle l'étiquetage et les symboles de manutention et en tient compte pour la suite du traitement;Analyser l’information;associé
Contrôle l'exactitude et l'exhaustivité d'une prescription;Analyser l’information;associé
Contrôle l'exécution des tests de freinage;Exécuter des tâches;associé
Contrôle l'exhaustivité et l'authenticité des données;Analyser l’information;associé
Contrôle l'exhaustivité et l'authenticité des données;Assimiler l’information;associé
Contrôle l'immobilisation des trains remorqués;Analyser l’information;associé
Contrôle l'installation en ce qui concerne les fuites, la présence d'humidité, le montage …;Analyser l’information;associé
Contrôle l'installation quant à sa conformité par rapport aux spécifications d'installation;Analyser l’information;associé
Contrôle l'intégrité des données;Analyser l’information;associé
Contrôle l'intégrité des données;Assimiler l’information;associé
Contrôle l'intégrité des données;Intégrer l’information;associé
Contrôle l'ordre et la propreté dans le magasin;Analyser l’information;associé
Contrôle l'usure et le fonctionnement des composants;Analyser l’information;associé
Contrôle la bonne géométrie des cadres;Analyser l’information;associé
Contrôle la chambre froide et la chambre de congélation;Analyser l’information;associé
Contrôle la circulation (ferroviaire et routière) lors de la pose des matériaux livrés;Analyser l’information;associé
Contrôle la cohésion harmonique;Souder une/des équipes;associé
Contrôle la comptabilité (balances, comptes de résultats, …);Atteindre les objectifs;associé
Contrôle la concordance entre les documents du secrétariat social et la comptabilité;Assimiler l’information;associé
Contrôle la conformité à toutes les exigences légales;Faire preuve de fiabilité;associé
Contrôle la conformité à toutes les obligations légales pour un enregistrement;Faire preuve de fiabilité;associé
Contrôle la conformité aux exigences légales;Faire preuve de fiabilité;associé
Contrôle la conformité avec les spécificités du concept et la réglementation en matière de sécurité et de santé;Faire preuve de fiabilité;proche
Contrôle la conformité du véhicule (pneus, freins, réglage des phares, émissions, …);Faire preuve de fiabilité;associé
Contrôle la couche de laque après le processus de séchage;Comprendre l’organisation;associé
Contrôle la douleur et le bien-être mental de la femme;Analyser l’information;associé
Contrôle la facturation;Analyser l’information;associé
Contrôle la faisabilité du schéma du tableau;Analyser l’information;associé
Contrôle la fermentation ou la levée de la pâte;Analyser l’information;associé
Contrôle la fin de la formation de la clarification (lies, bourbes, etc.);Analyser l’information;associé
Contrôle la gestion de grandes quantités de données;Analyser l’information;associé
Contrôle la gestion de grandes quantités de données;Assimiler l’information;associé
Contrôle la hauteur et la pente des voies;Analyser l’information;associé
Contrôle la hauteur, l'alignement et l'inclinaison du lit de la tranchée;Analyser l’information;associé
Contrôle la largeur de la voie;Analyser l’information;associé
Contrôle la légalité des documents (mariages, élections, permis de construire);Assimiler l’information;associé
Contrôle la machine avant la mise en service;Analyser l’information;associé
Contrôle la nature et l'état des matériaux et les structures aéronautiques (usure, corrosion, fissures, tension, etc.);Analyser l’information;associé
Contrôle la nature et l'état des matériaux et les structures aéronautiques (usure, corrosion, fissures, tension, etc.);Structurer le travail;associé
Contrôle la planéité du béton délivré et vérifie le bon positionnement des joints;Analyser l’information;proche
Contrôle la posture, les gestes et les mouvements et/ou la voix et le texte si nécessaire;Analyser l’information;associé
Contrôle la précision du dragage à l'aide des mesures intermédiaires;Analyser l’information;proche
Contrôle la présence d'animaux indésirables et effectue la régulation;Analyser l’information;associé
Contrôle la présence de signalisation temporaire (près de voies de tramway, de passages à niveau, etc.);Analyser l’information;associé
Contrôle la présence et la validité des inspections et des autorisations de travail;Analyser l’information;associé
Contrôle la prise du béton fraîchement coulé;Analyser l’information;associé
Contrôle la qualité de l'air (régler et entretenir le déshumidificateur, l'humidificateur, les filtres à air);Faire preuve de fiabilité;associé
Contrôle la qualité des impressions 3D;Faire preuve de fiabilité;associé
Contrôle la qualité des matériaux de revêtement;Faire preuve de fiabilité;associé
Contrôle la qualité (dimensions, finition, …);Faire preuve de fiabilité;associé
Contrôle la qualité et la cohérence des fichiers bibliographiques au sein des ses propres institutions et du réseau;Faire preuve de fiabilité;associé
Contrôle la qualité et les dimensions;Faire preuve de fiabilité;associé
Contrôle la qualité, la perpendicularité et le mesurage;Analyser l’information;proche
Contrôle la quantité de combustible présente dans la citerne du client (contrôle visuel, jauge, etc.) afin d'éviter tout débordement;Agir de manière orientée service;associé
Contrôle la quantité, le type de marchandises et les dommages visuels;Analyser l’information;associé
Contrôle la résistance des verres et marque le centre axial et le centre optique;Analyser l’information;associé
Contrôle la situation sur le chantier (planéité, perpendicularité, résistance, équipements d'utilité publique, etc.);Analyser l’information;associé
Contrôle la température;Analyser l’information;associé
Contrôle la température et l'épaisseur de l'asphalte;Analyser l’information;associé
Contrôle la température et la fraîcheur de la marchandise en utilisant un appareil de mesure;Analyser l’information;proche
Contrôle la température, la viscosité et la pureté des matières premières et du matériel;Analyser l’information;associé
Contrôle la tension et les dispositifs de sécurité sur le réseau avant de connecter l'équipement électrique;Analyser l’information;associé
Contrôle la tension et les dispositifs de sécurité sur le réseau avant de connecter l'équipement électrique;Construire des réseaux;associé
Contrôle la tension et les dispositifs de sécurité sur le réseau avant de connecter l'équipement électrique;Faire preuve de fiabilité;associé
Contrôle la validité des documents;Assimiler l’information;associé
Contrôle la validité des documents (attestations, certifications, licences, …);Assimiler l’information;associé
Contrôle la validité des moyens de paiement;Analyser l’information;associé
Contrôle la validité des titres de transport;Analyser l’information;associé
Contrôle la zone de chargement et l'arrimage du chargement;Analyser l’information;associé
Contrôle le bétail et la viande visuellement;Analyser l’information;associé
Contrôle le bon fonctionnement de la connexion internet;Analyser l’information;associé
Contrôle le bon fonctionnement du système de gestion d'archives et/ou du dépôt numérique;Analyser l’information;associé
Contrôle le câblage de puissance et les fils de commande;Analyser l’information;associé
Contrôle le coffrage et l'armature;Analyser l’information;associé
Contrôle le contenu et le langage utilisé dans les documents;Assimiler l’information;proche
Contrôle le contrepoids;Analyser l’information;associé
